"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 12 16:01:53 BST 2024","Fri Apr 12 16:01:57 BST 2024","4280","","The Internet Guinea Pig Website: As a user, I can view a specific element in the challengeDom table","","","","And I can verify that I see the value ""Apeirian7"" in the correct row ""8""",""
"passed","Fri Apr 12 16:01:50 BST 2024","Fri Apr 12 16:01:50 BST 2024","1","","The Internet Guinea Pig Website: As a user, I can add and remove elements on the add/remove elements page","","","","",""
"passed","Fri Apr 12 16:02:08 BST 2024","Fri Apr 12 16:02:10 BST 2024","1525","","The Internet Guinea Pig Website: As a user, I can view a specific element in the challengeDom table","","","","Then I should see the challenge Dom page",""
"passed","Fri Apr 12 16:02:07 BST 2024","Fri Apr 12 16:02:08 BST 2024","1382","","The Internet Guinea Pig Website: As a user, I can view a specific element in the challengeDom table","","","","When I click on challenge Dom",""
"passed","Fri Apr 12 16:02:10 BST 2024","Fri Apr 12 16:02:11 BST 2024","1136","","The Internet Guinea Pig Website: As a user, I can view a specific element in the challengeDom table","","","","And I can verify that I see the value ""Definiebas1"" in the correct row ""2""",""
"skipped","Fri Apr 12 16:01:50 BST 2024","Fri Apr 12 16:01:50 BST 2024","0","","The Internet Guinea Pig Website: As a user, I can add and remove elements on the add/remove elements page","","","","And I can remove an element from the page",""
"passed","Fri Apr 12 16:02:05 BST 2024","Fri Apr 12 16:02:07 BST 2024","1779","","The Internet Guinea Pig Website: As a user, I can view a specific element in the challengeDom table","","","","And I can verify that I see the value ""Consequuntur4"" in the correct column ""5"" ""Amet""",""
"passed","Fri Apr 12 16:02:03 BST 2024","Fri Apr 12 16:02:05 BST 2024","2279","","The Internet Guinea Pig Website: As a user, I can view a specific element in the challengeDom table","","","","And I can verify that I see the value ""Consequuntur4"" in the correct row ""5""",""
"passed","Fri Apr 12 16:02:07 BST 2024","Fri Apr 12 16:02:07 BST 2024","96","","The Internet Guinea Pig Website: As a user, I can view a specific element in the challengeDom table","","","","Given I am on the heroku app homepage",""
"passed","Fri Apr 12 16:01:47 BST 2024","Fri Apr 12 16:01:49 BST 2024","2326","","The Internet Guinea Pig Website: As a user, I can add and remove elements on the add/remove elements page","","","","Then I should see the add-remove elements page",""
"passed","Fri Apr 12 16:02:13 BST 2024","Fri Apr 12 16:02:13 BST 2024","0","","The Internet Guinea Pig Website: As a user, I can view a specific element in the challengeDom table","","","","",""
"failed","Fri Apr 12 16:01:49 BST 2024","Fri Apr 12 16:01:50 BST 2024","1082","","The Internet Guinea Pig Website: As a user, I can add and remove elements on the add/remove elements page","","","","And I can add an element to the page",""
"passed","Fri Apr 12 16:01:45 BST 2024","Fri Apr 12 16:01:46 BST 2024","1351","","The Internet Guinea Pig Website: As a user, I can add and remove elements on the add/remove elements page","","","","Given I am on the heroku app homepage",""
"passed","Fri Apr 12 16:01:57 BST 2024","Fri Apr 12 16:01:59 BST 2024","1865","","The Internet Guinea Pig Website: As a user, I can view a specific element in the challengeDom table","","","","And I can verify that I see the value ""Apeirian7"" in the correct column ""8"" ""Ipsum""",""
"passed","Fri Apr 12 16:01:46 BST 2024","Fri Apr 12 16:01:47 BST 2024","671","","The Internet Guinea Pig Website: As a user, I can add and remove elements on the add/remove elements page","","","","When I click on add-remove elements",""
"passed","Fri Apr 12 16:02:11 BST 2024","Fri Apr 12 16:02:13 BST 2024","1696","","The Internet Guinea Pig Website: As a user, I can view a specific element in the challengeDom table","","","","And I can verify that I see the value ""Definiebas1"" in the correct column ""2"" ""Sit""",""
